x1,x2,x3,prediction,Layer
974.4390317790662,986.0306631062712,1960.4696948853373,1.0,Layer 2
1001.34067449705,971.1762391943216,1972.516913691372,1.0,Layer 2
984.7252199064784,954.094094274144,1938.8193141806223,0.0,Layer 1
993.0109056472622,947.9401148611488,1940.951020508411,0.0,Layer 1
972.028552841746,979.7743667393064,1951.8029195810525,1.0,Layer 2
953.9573154786984,952.6831317585988,1906.6404472372967,0.0,Layer 1
977.2229389496098,995.7068435377398,1972.9297824873497,999.0,No Reaction
978.3293128804302,977.4546940520764,1955.7840069325064,1.0,Layer 2
969.088952546844,928.559398829955,1897.648351376799,0.0,Layer 1
963.7781031855892,991.6036931866788,1955.381796372268,999.0,No Reaction
977.4500557871912,990.7796896662276,1968.229745453419,1.0,Layer 2
981.886686937872,955.2804908790032,1937.1671778168752,0.0,Layer 1
971.8653299224134,998.2357744021192,1970.1011043245328,999.0,No Reaction
995.1934090486014,979.5404959486616,1974.733904997263,1.0,Layer 2
976.7160598635212,980.326633922192,1957.0426937857133,1.0,Layer 2
958.8768685443304,976.5692501663256,1935.446118710656,0.0,Layer 1
916.7011003200104,952.45704384429,1869.1581441643,0.0,Layer 1
971.1746065565636,968.4227498171432,1939.5973563737064,0.0,Layer 1
971.4563364743016,930.1555544014798,1901.6118908757808,0.0,Layer 1
933.864296188122,958.6653732555388,1892.5296694436609,0.0,Layer 1
954.2747391983876,975.548689138487,1929.8234283368745,0.0,Layer 1
980.0952734513191,982.5433290273936,1962.638602478713,1.0,Layer 2
1012.0815163737182,990.5578630640327,2002.639379437751,1.0,Layer 2
933.994241379218,967.1919705210604,1901.1862119002783,0.0,Layer 1
949.8092717158758,977.1225317475242,1926.9318034634,0.0,Layer 1
984.235592588512,956.7013031580362,1940.936895746548,0.0,Layer 1
1020.0799487969632,975.968341822726,1996.0482906196892,1.0,Layer 2
950.7030937161186,978.0631443523114,1928.76623806843,0.0,Layer 1
963.4818589395314,979.5114458497816,1942.993304789313,0.0,Layer 1
967.85067857514,997.5431121388312,1965.3937907139712,999.0,No Reaction
992.084971794502,988.4328928821964,1980.5178646766983,1.0,Layer 2
969.9228632156174,988.0495362188204,1957.9723994344376,1.0,Layer 2
964.9259301647692,934.6034891839228,1899.529419348692,0.0,Layer 1
995.750312491322,949.4142420279392,1945.164554519261,0.0,Layer 1
989.4839152659856,939.9196918309004,1929.403607096886,0.0,Layer 1
992.3430241979132,961.061239175366,1953.4042633732795,0.0,Layer 1
1020.485573594132,995.1569506030528,2015.642524197185,1.0,Layer 2
988.4034901423992,1005.0699589846604,1993.47344912706,999.0,No Reaction
975.587154301366,998.9148618619812,1974.5020161633472,999.0,No Reaction
967.8336744712832,983.1045384286008,1950.938212899884,1.0,Layer 2
988.232025313458,988.9282699965064,1977.1602953099648,1.0,Layer 2
949.3501912961336,975.9157091193048,1925.2659004154384,0.0,Layer 1
966.2974485537804,996.7702324380514,1963.067680991832,999.0,No Reaction
959.7310774907208,942.1104685139028,1901.8415460046235,0.0,Layer 1
1019.1604014938372,993.9253457893268,2013.085747283164,1.0,Layer 2
969.5540099803568,981.7554802958836,1951.30949027624,1.0,Layer 2
965.0977072981212,985.9821026785517,1951.0798099766728,999.0,No Reaction
966.2960676083504,1028.8702206078758,1995.1662882162263,999.0,No Reaction
978.1184151445163,969.2993679787596,1947.417783123276,0.0,Layer 1
973.0121300900876,963.2035481915576,1936.2156782816453,0.0,Layer 1
975.6162565544724,952.006310338947,1927.6225668934196,0.0,Layer 1
968.8835004082428,994.8128119689742,1963.696312377217,999.0,No Reaction
972.369116917414,989.4182656717052,1961.7873825891195,1.0,Layer 2
970.4834464899768,998.4444816926572,1968.927928182634,999.0,No Reaction
1006.5081900557684,957.1611847620824,1963.669374817851,1.0,Layer 2
995.0453015503338,999.2155801949648,1994.2608817452988,1.0,Layer 2
972.5713585271232,962.91791151399,1935.4892700411133,0.0,Layer 1
972.8202426917884,1004.5708907946076,1977.3911334863965,999.0,No Reaction
962.1969082758866,964.9974032984684,1927.1943115743552,0.0,Layer 1
1000.7180123110423,976.3439790383192,1977.0619913493613,1.0,Layer 2
986.933808622156,1019.6045521556446,2006.5383607778008,999.0,No Reaction
975.6997312890694,1017.914764540461,1993.6144958295304,999.0,No Reaction
989.5046693289404,987.779388031575,1977.2840573605156,1.0,Layer 2
981.9309992416328,987.677488747428,1969.608487989061,1.0,Layer 2
975.9184948364368,931.6608774147188,1907.5793722511555,0.0,Layer 1
951.9862490867984,972.3292567464904,1924.3155058332889,0.0,Layer 1
982.6438979995938,981.2267017061496,1963.8705997057436,1.0,Layer 2
982.9005252614082,946.1612257552284,1929.061751016637,0.0,Layer 1
959.459324745893,1001.8594389597514,1961.3187637056444,999.0,No Reaction
